case_id,Z,metric,stride_xy,mean_sim,median_sim,p10_sim,p90_sim,min_sim,max_sim
s0410,32,ssim,1,0.8798737525939941,0.8824251294136047,0.7919004559516907,0.9625352025032043,0.7730451822280884,0.972861647605896
s0352,32,ssim,1,0.8726022839546204,0.8976309299468994,0.7202876210212708,0.9646831750869751,0.680922269821167,0.970819354057312
s0199,32,ssim,1,0.867960512638092,0.8728909492492676,0.8428165316581726,0.8854471445083618,0.8212389349937439,0.8898249268531799
s0474,32,ssim,1,0.8631016612052917,0.8539838194847107,0.7663536071777344,0.955419659614563,0.7374364733695984,0.9632929563522339
s0260,32,ssim,1,0.8626883029937744,0.86650151014328,0.842619776725769,0.8755777478218079,0.8343621492385864,0.8880808353424072
s1378,32,ssim,1,0.8607459664344788,0.8571467399597168,0.8413123488426208,0.8877205848693848,0.8263541460037231,0.8988981246948242
s0000,32,ssim,1,0.852890133857727,0.8509547710418701,0.8332764506340027,0.8724112510681152,0.8292635679244995,0.9017244577407837
s0340,32,ssim,1,0.8500662446022034,0.8430289626121521,0.7808163166046143,0.9257575273513794,0.7609711289405823,0.9402005672454834
s1371,32,ssim,1,0.8480488061904907,0.8590363264083862,0.7899965643882751,0.8845568299293518,0.773827075958252,0.8902919888496399
s0837,32,ssim,1,0.8426519632339478,0.8968492746353149,0.7329495549201965,0.9098250865936279,0.599709689617157,0.9222419261932373
s0128,32,ssim,1,0.8423078060150146,0.8455075025558472,0.8098375797271729,0.880131721496582,0.7928435802459717,0.8921094536781311
s0132,32,ssim,1,0.828130841255188,0.8271012902259827,0.8162683844566345,0.843192458152771,0.8089926242828369,0.845509946346283
s0388,32,ssim,1,0.8165144324302673,0.8094497323036194,0.7271646857261658,0.9279505610466003,0.7211310267448425,0.9428128004074097
s0156,32,ssim,1,0.8018751740455627,0.8065542578697205,0.779064416885376,0.8209120631217957,0.7686893939971924,0.8263663649559021
s0086,32,ssim,1,0.8013449907302856,0.8137553334236145,0.774530827999115,0.8373962640762329,0.6101369261741638,0.8450984954833984
s1384,32,ssim,1,0.7951486110687256,0.7929204702377319,0.7699059247970581,0.8333335518836975,0.7242856621742249,0.8523262739181519
s0002,32,ssim,1,0.7946680188179016,0.8095966577529907,0.741691529750824,0.8762412667274475,0.3885802626609802,0.9081627726554871
s0187,32,ssim,1,0.7942113280296326,0.796567440032959,0.7607319951057434,0.8299486041069031,0.7293505668640137,0.8851131200790405
s0227,32,ssim,1,0.7926441431045532,0.7882556915283203,0.7673278450965881,0.8305551409721375,0.7456469535827637,0.8443881273269653
s0034,32,ssim,1,0.7904654741287231,0.78678297996521,0.7488292455673218,0.8209808468818665,0.7426913976669312,0.8427671790122986
s1380,32,ssim,1,0.7897914052009583,0.7950437664985657,0.7441723942756653,0.8329327702522278,0.7113872766494751,0.8759082555770874
s0627,32,ssim,1,0.7883733510971069,0.7847122550010681,0.7417320013046265,0.8589838147163391,0.614077091217041,0.8686304092407227
s0287,32,ssim,1,0.7796527147293091,0.772815465927124,0.6567116379737854,0.8981294631958008,0.6166524887084961,0.9334083199501038
s0447,32,ssim,1,0.7794339656829834,0.7793555855751038,0.7300485968589783,0.822172999382019,0.6871736645698547,0.8362364172935486
s0603,32,ssim,1,0.7789385914802551,0.7672832012176514,0.7287957668304443,0.8682239055633545,0.6679790019989014,0.9070605635643005
s1359,32,ssim,1,0.7766970992088318,0.7829025387763977,0.7258915901184082,0.8154317140579224,0.7091152667999268,0.8366434574127197
s0043,32,ssim,1,0.7759460210800171,0.7971304655075073,0.6711231470108032,0.8796631693840027,0.47041547298431396,0.8927180767059326
s0633,32,ssim,1,0.7738242745399475,0.7671381235122681,0.7472507357597351,0.8056104779243469,0.7442799806594849,0.8333335518836975
s0166,32,ssim,1,0.7731785178184509,0.7804948091506958,0.7244066596031189,0.8099547624588013,0.7046704888343811,0.8300686478614807
s0514,32,ssim,1,0.771643877029419,0.7605621218681335,0.6523037552833557,0.9231027960777283,0.6085206866264343,0.9481157660484314
s1357,32,ssim,1,0.7655179500579834,0.7559139728546143,0.6971721053123474,0.8496686220169067,0.6805229187011719,0.8606328368186951
s0001,32,ssim,1,0.7639718055725098,0.7759755849838257,0.7328319549560547,0.8026013970375061,0.49769437313079834,0.8140549063682556
s0071,32,ssim,1,0.7639584541320801,0.7535862326622009,0.721365213394165,0.8100912570953369,0.7153486013412476,0.823250412940979
