case,mask_id,dice_bp_direct,dice_bp_medsam,dice_gt_medsam
s0423,2,0.0,0.0,
s0429,1,0.0425531914893617,0.0278637770897832,
s0431,1,0.0,0.0,
s0431,2,0.093396280075081,0.0866719451042491,
s0431,3,0.0053281964055167,0.0036527114357965,
s0436,1,0.0,0.0,
s0436,2,0.0,0.0,
s0436,3,0.0349018385789965,0.0262008733624454,
s0436,4,0.0,0.0,
s0440,1,0.6643153451143071,0.5388148066176064,
s0440,2,0.0980810234541577,0.0574121679520137,
s0440,3,0.0100671140939597,0.0146375791695988,
s0446,1,0.0118621892716964,0.0113656132212235,
s0446,2,0.112644376899696,0.1000496031746031,
s0446,3,0.0,0.0,
s0446,4,0.001471489883507,0.0014899428855227,
s0447,1,0.0003621501370996,0.000545141946576,
s0447,2,0.00110180696342,0.0014495817352701,
s0447,3,0.0,0.0,
s0456,1,0.0,0.0,
s0456,2,0.0,0.0,
s0456,3,0.0347654628476546,0.0300137467542385,
s0460,1,0.0,0.0,
s0461,1,0.0,0.0,
s0461,2,0.0,0.0,
s0461,3,0.0,0.0,
s0461,4,0.0,0.0038197097020626,
s0467,1,0.3241275420537283,0.1893305439330544,
s0467,2,0.0024252223120452,0.0469024819230017,
s0467,3,0.0026638252530633,0.0251128114577202,
s0468,1,0.0014967371130934,0.0019151218017465,
s0468,2,0.0,0.0,
s0468,3,0.0041695621959694,0.0031026993484331,
s0472,1,0.0485682274160348,0.0461502723072555,
s0472,2,0.0,0.0,
s0474,1,0.0082766775051729,0.0405741626794258,
s0476,1,0.0,0.0,
s0476,2,0.0,0.0,
s0476,3,0.0,0.0079964460239893,
s0477,1,0.0121498481268984,0.0008922198429693,
s0477,2,0.0050262888132006,0.0075226907247403,
s0477,3,0.0,0.0,
s0477,4,0.0022156573116691,0.0250475232025047,
s0478,1,0.0,0.0,
s0478,2,0.0015100037750094,0.0005161956381468,
s0478,3,0.848449514685491,0.8841361077693118,
s0478,4,0.8661258807507846,0.9045557733252492,
s0483,1,0.0,0.0022471910112359,
s0483,2,0.0615722924683892,0.076679446574429,
s0483,3,0.0,0.0,
s0483,4,0.0,0.0022764638927532,
s0483,5,0.0,0.0,
s0483,6,0.0,0.0,
s0483,7,0.673396167316837,0.5443294886391763,
