case,mask_id,dice_bp_direct,dice_bp_medsam,dice_gt_medsam
s0146,5,0.0,0.0,
s0150,1,0.0107976784991226,0.0001731451822353,
s0150,2,0.0,0.0,
s0150,3,0.0,0.0,
s0150,4,0.0,0.0,
s0150,5,0.0,0.0,
s0151,1,0.0,0.0,
s0151,2,0.0,0.0,
s0152,1,0.0,0.0,
s0152,2,0.0,0.0,
s0152,3,0.0,0.0,
s0152,4,0.0020114942528735,0.0122884303269186,
s0153,1,0.0,0.0,
s0153,2,0.0,0.0,
s0156,1,0.0,0.0,
s0156,2,0.0,0.0,
s0156,3,0.0081135902636916,0.0346220427005193,
s0156,4,0.0010207987750414,0.0129366106080207,
s0157,1,0.0461329715061058,0.0455007109486085,
s0157,2,0.0,0.0,
s0157,3,0.0,0.0,
s0158,1,0.0,0.0,
s0158,2,0.0,0.0,
s0160,1,0.0,0.0,
s0160,2,0.0,0.0,
s0160,3,0.0,0.0,
s0161,1,0.0,0.0,
s0161,2,0.003581341212284,0.0104998858708057,
s0162,1,0.0044753456405338,0.030700112317484,
s0162,2,0.0,0.0,
s0163,1,0.0,0.0,
s0163,2,0.0,0.0,
s0163,3,0.0,0.0,
s0165,1,0.0220064724919093,0.0459770114942528,
s0166,1,0.1278338452537662,0.1196205866854031,
s0166,2,0.0,0.0,
s0167,1,0.0272830617658203,0.0558889079375964,
s0170,1,0.0,0.0041628122109158,
s0171,1,0.000653167864141,0.0061927173643794,
s0171,2,0.0,0.0,
s0174,1,0.0,0.0,
s0175,1,0.0,0.0,
s0178,1,0.0,0.0,
s0178,2,0.1170543466609497,0.140348498203268,
s0178,3,0.0,0.0,
s0178,4,0.0,0.0,
s0178,5,0.0,0.0,
s0182,1,0.0,0.0,
s0182,2,0.0,0.0,
s0187,1,0.0,0.0032168132103795,
s0190,1,0.0,0.0,
s0190,2,0.0,0.0,
s0199,1,0.0,0.0,
s0212,1,0.0008802816901408,0.0035746201966041,
s0212,2,0.0,0.0,
s0212,3,0.0,0.0,
s0212,4,0.0,0.0,
s0212,5,0.0,0.0,
s0212,6,0.0,0.0,
