case,mask_id,mode,prompt,dice,iou,gt_pos,pred_pos,bp_pred_pos,slices_used
s0067,4,structured,effusion,0.0,0.0,15232,3240,694,22
s0067,5,structured,effusion,0.0,0.0,706,1001,83,11
s0070,1,structured,lesion,0.0026343519494204425,0.0013189132155104195,464,3332,1470,27
s0070,2,structured,lesion,0.0,0.0,128,1133,97,17
s0070,3,structured,lymph node,0.0,0.0,1429,1534,331,16
s0071,1,structured,calcification,0.0,0.0,0,6417,4171,18
s0071,2,structured,lesion,0.0,0.0,20,3655,1537,28
s0071,3,structured,cyst,0.0,0.0,26,724,145,6
s0071,4,structured,effusion,0.10496929089893914,0.0553918680023571,1991,1591,159,25
s0071,5,structured,nodule,0.0,0.0,354,3467,1900,24
s0079,1,structured,tumor,0.0,0.0,72,11866,5999,25
s0080,1,structured,lesion,0.0,0.0,16,4472,2926,31
s0080,2,structured,thickening,0.0,0.0,262,2589,2079,16
s0080,3,structured,lesion,0.0,0.0,30,1890,399,22
s0086,1,structured,cyst,0.0,0.0,10,2772,1164,13
s0086,2,structured,lesion,0.0,0.0,14,4992,1687,29
s0089,1,structured,cyst,0.0,0.0,0,2219,531,13
s0089,2,structured,lesion,0.0,0.0,0,8544,5801,32
s0102,1,structured,cyst,0.022516556291390728,0.011386470194239785,1184,4856,4820,15
s0102,2,structured,lesion,0.0,0.0,183,1831,759,18
s0103,1,structured,lesion,0.0,0.0,17,7868,4476,29
s0108,1,structured,calcification,0.0,0.0,0,9811,6960,29
s0110,1,structured,lesion,0.03727682950755346,0.018992403038784487,5797,4397,2399,22
s0117,1,structured,calculus,0.0,0.0,0,23535,18862,30
s0117,2,structured,calculus,0.0,0.0,31,5547,2899,23
s0117,3,structured,lesion,0.0,0.0,1003,7605,6958,31
s0119,1,structured,cyst,0.0,0.0,2887,5591,1421,12
s0119,2,structured,calcification,0.0,0.0,0,6045,2747,28
s0120,1,structured,cyst,0.0,0.0,1890,3753,1585,12
s0123,1,structured,lymph node,0.0,0.0,579,3843,1093,23
s0123,2,structured,nodule,0.0,0.0,758,1539,734,10
s0124,1,structured,hematoma,0.001269265639165911,0.0006350358341649278,3335,7695,5130,29
s0124,2,structured,cyst,0.0,0.0,76,18354,14405,19
s0124,3,structured,nodule,0.0,0.0,88,5397,2917,23
s0124,4,structured,nodule,0.0,0.0,1738,1778,376,15
s0128,1,structured,effusion,0.32248808730850026,0.19224190592547344,10624,8893,6927,32
s0128,2,structured,atelectasis,0.0,0.0,5290,151,8,2
s0131,1,structured,calculus,0.0,0.0,73,26700,22128,31
s0132,1,structured,lesion,0.0,0.0,169168,2229,1534,30
s0133,1,structured,lesion,0.0,0.0,586,5740,3865,31
s0137,1,structured,cyst,0.0,0.0,218,4653,1607,17
s0139,1,structured,lesion,0.0,0.0,204,5692,3049,31
s0141,1,structured,lesion,0.0,0.0,407,4522,1376,26
s0141,2,structured,nodule,0.0,0.0,0,5327,2923,29
s0141,3,structured,fracture,0.0,0.0,1380,8381,4372,27
s0143,1,structured,nodule,0.0,0.0,87,7682,6074,21
s0143,2,structured,calculus,0.0,0.0,0,22281,16276,32
s0143,3,structured,calcification,0.004231205137891953,0.0021200878322101915,90,26380,14247,29
s0146,1,structured,lesion,0.0,0.0,259,6124,2888,28
s0146,2,structured,calcification,0.0,0.0,17398,21537,16688,13
s0146,3,structured,lesion,8.459879023729961e-05,4.230118443316413e-05,68955,1968,367,23
s0146,4,structured,opacity,0.0002246559955068801,0.00011234061674998596,64111,7109,2091,11
s0146,5,structured,opacity,0.0,0.0,88892,135,46,3
s0150,1,structured,fracture,0.0001731451822353043,8.658008658008658e-05,780,10771,6629,29
s0150,2,structured,cyst,0.0,0.0,124,2532,478,14
s0150,3,structured,cyst,0.0,0.0,3797,536,121,7
s0150,4,structured,calcification,0.0,0.0,0,7037,3183,24
s0150,5,structured,aneurysm,0.0,0.0,1536,9876,4019,21
s0151,1,structured,thickening,0.0,0.0,0,35080,24299,25
s0151,2,structured,cyst,0.0,0.0,64,3403,995,15
s0152,1,structured,lesion,0.0,0.0,234,4390,2427,30
s0152,2,structured,calcification,0.0,0.0,139,2867,1721,18
s0152,3,structured,lesion,0.0,0.0,797,1262,295,14
s0152,4,structured,effusion,0.012288430326918618,0.006182199930012831,6408,2218,552,28
s0153,1,structured,lesion,0.0,0.0,110890,7382,6542,31
s0153,2,structured,lesion,0.0,0.0,646,1595,335,22
s0156,1,structured,lesion,0.0,0.0,33,5453,2444,32
s0156,2,structured,lesion,0.0,0.0,390,1790,226,25
s0156,3,structured,lesion,0.03462204270051933,0.017615971814445096,329,1404,164,21
s0156,4,structured,lesion,0.0129366106080207,0.006510416666666667,7723,1553,114,22
s0157,1,structured,lesion,0.04550071094860857,0.02327998337144045,527,4396,1684,31
s0157,2,structured,lesion,0.0,0.0,927,1660,204,17
s0157,3,structured,lesion,0.0,0.0,4465,1485,126,17
s0158,1,structured,calcification,0.0,0.0,16,15184,15614,28
s0158,2,structured,lesion,0.0,0.0,314,7025,4516,31
s0160,1,structured,fracture,0.0,0.0,549,1869,689,10
s0160,2,structured,lesion,0.0,0.0,29,2823,4589,29
s0160,3,structured,atelectasis,0.0,0.0,332,1563,880,13
s0161,1,structured,cyst,0.0,0.0,370,16293,11275,17
s0161,2,structured,tumor,0.010499885870805753,0.0052776502983019734,4414,13110,6755,30
s0162,1,structured,thickening,0.03070011231748409,0.0155893536121673,2143,11212,10370,13
s0162,2,structured,lesion,0.0,0.0,55318,3439,1205,29
s0163,1,structured,lesion,0.0,0.0,7719,3544,1258,24
s0163,2,structured,lesion,0.0,0.0,10,1452,87,21
s0163,3,structured,lesion,0.0,0.0,0,881,73,14
s0165,1,structured,mass,0.04597701149425287,0.023529411764705882,342,1572,1203,8
s0166,1,structured,effusion,0.11962058668540312,0.06361513311536665,3917,7469,2920,29
s0166,2,structured,tumor,0.0,0.0,1680,4307,1257,23
s0167,1,structured,thickening,0.05588890793759643,0.028747795414462082,3939,1894,1339,15
s0170,1,structured,lesion,0.004162812210915819,0.002085747392815759,2876,5772,2611,28
s0171,1,structured,hematoma,0.00619271736437949,0.0031059758976270343,3163,4911,2961,23
s0171,2,structured,lesion,0.0,0.0,291,4183,2278,29
s0174,1,structured,cyst,0.0,0.0,492,43290,29605,23
s0175,1,structured,lesion,0.0,0.0,25,4287,1406,28
s0178,1,structured,cyst,0.0,0.0,928,4906,1092,14
s0178,2,structured,calcification,0.14034849820326803,0.07547032229838121,1129,13620,8200,29
s0178,3,structured,lesion,0.0,0.0,49,5590,3411,30
s0178,4,structured,lesion,0.0,0.0,720,1644,269,23
s0178,5,structured,tumor,0.0,0.0,922,4242,1177,25
s0182,1,structured,lesion,0.0,0.0,113,9800,6049,31
s0182,2,structured,lesion,0.0,0.0,262,2153,602,20
s0187,1,structured,lesion,0.0032168132103795838,0.0016109977446031576,553,8773,9872,29
s0190,1,structured,lesion,0.0,0.0,834,8198,4954,27
s0190,2,structured,lesion,0.0,0.0,61309,2093,635,21
